plate,sample,yield,dilution,well,max v [420],kobs,s,vmax correction per [s]
1,wt2,0.878,0.01,f11,1.05e-03,1.08e+01,0.00007,4.12e-07
1,wt2,0.878,0.01,g11,2.67e-04,2.76e+00,0.00002,3.65e-07
1,wt2,0.878,0.01,h11,7.54e-06,7.79e-02,0,4.26e-07
1,wt2,0.878,0.01,a12,6.69e-02,6.91e+02,0.075,4.81e-07
1,wt2,0.878,0.01,b12,5.21e-02,5.38e+02,0.01875,3.83e-07
1,wt2,0.878,0.01,c12,3.95e-02,4.08e+02,0.00469,2.90e-07
1,wt2,0.878,0.01,d12,1.58e-02,1.63e+02,0.00117,2.78e-07
1,wt2,0.878,0.01,e12,4.50e-03,4.64e+01,0.00029,1.57e-07
1,wt2,0.878,0.01,f12,1.39e-03,1.44e+01,0.00007,4.12e-07
1,wt2,0.878,0.01,g12,2.25e-04,2.33e+00,0.00002,3.65e-07
1,wt2,0.878,0.01,h12,2.52e-05,2.60e-01,0,4.26e-0710
10,g355a,0.165,0.1,b1,1.17e-04,6.43e-01,0.01875,3.83e-07
10,g355a,0.165,0.1,c1,7.21e-05,3.96e-01,0.00469,2.90e-07
10,g355a,0.165,0.1,d1,4.55e-05,2.50e-01,0.00117,2.78e-07
10,g355a,0.165,0.1,e1,1.01e-17,5.53e-14,0.00029,1.57e-07
10,g355a,0.165,0.1,f1,-2.25e-17,-1.24e-13,0.00007,4.12e-07
10,g355a,0.165,0.1,g1,2.38e-17,1.31e-13,0.00002,3.65e-07
10,g355a,0.165,0.1,h1,1.73e-17,9.49e-14,0,4.26e-07
10,g355a,0.165,0.1,a2,1.87e-04,1.03e+00,0.075,4.81e-07
10,g355a,0.165,0.1,b2,1.53e-04,8.43e-01,0.01875,3.83e-07
10,g355a,0.165,0.1,c2,6.73e-05,3.70e-01,0.00469,2.90e-07
10,g355a,0.165,0.1,d2,5.15e-05,2.83e-01,0.00117,2.78e-07
10,g355a,0.165,0.1,e2,2.33e-18,1.28e-14,0.00029,1.57e-07
10,g355a,0.165,0.1,f2,8.94e-18,4.91e-14,0.00007,4.12e-07
10,g355a,0.165,0.1,g2,1.20e-17,6.60e-14,0.00002,3.65e-07
10,g355a,0.165,0.1,h2,-4.24e-17,-2.33e-13,0,4.26e-07
10,g355a,0.165,0.1,a3,1.82e-04,9.99e-01,0.075,4.81e-07
10,g355a,0.165,0.1,b3,1.19e-04,6.56e-01,0.01875,3.83e-07
10,g355a,0.165,0.1,c3,7.94e-05,4.36e-01,0.00469,2.90e-07
10,g355a,0.165,0.1,d3,5.82e-05,3.20e-01,0.00117,2.78e-07
10,g355a,0.165,0.1,e3,7.45e-05,4.10e-01,0.00029,1.57e-07
10,g355a,0.165,0.1,f3,-4.17e-17,-2.29e-13,0.00007,4.12e-07
10,g355a,0.165,0.1,g3,1.57e-17,8.65e-14,0.00002,3.65e-07
10,g355a,0.165,0.1,h3,3.09e-18,1.70e-14,0,4.26e-07
10,a408a,0.804,0.01,a4,1.28e-01,1.44e+03,0.075,4.81e-07
10,a408a,0.804,0.01,b4,9.66e-02,1.09e+03,0.01875,3.83e-07
10,a408a,0.804,0.01,c4,7.79e-02,8.79e+02,0.00469,2.90e-07
10,a408a,0.804,0.01,d4,2.80e-02,3.16e+02,0.00117,2.78e-07
10,a408a,0.804,0.01,e4,9.82e-03,1.11e+02,0.00029,1.57e-07
10,a408a,0.804,0.01,f4,2.36e-03,2.66e+01,0.00007,4.12e-07
10,a408a,0.804,0.01,g4,5.46e-04,6.16e+00,0.00002,3.65e-07
10,a408a,0.804,0.01,h4,1.47e-17,1.66e-13,0,4.26e-07
10,a408a,0.804,0.01,a5,1.27e-01,1.43e+03,0.075,4.81e-07
10,a408a,0.804,0.01,b5,9.77e-02,1.10e+03,0.01875,3.83e-07
10,a408a,0.804,0.01,c5,6.91e-02,7.79e+02,0.00469,2.90e-07
10,a408a,0.804,0.01,d5,2.43e-02,2.73e+02,0.00117,2.78e-07
10,a408a,0.804,0.01,e5,6.95e-03,7.84e+01,0.00029,1.57e-07
10,a408a,0.804,0.01,f5,1.93e-03,2.18e+01,0.00007,4.12e-07
10,a408a,0.804,0.01,g5,4.05e-04,4.57e+00,0.00002,3.65e-07
10,a408a,0.804,0.01,h5,0.00e+00,0.00e+00,0,4.26e-07
10,a408a,0.804,0.01,a6,1.27e-01,1.43e+03,0.075,4.81e-07
10,a408a,0.804,0.01,b6,1.01e-01,1.14e+03,0.01875,3.83e-07
10,a408a,0.804,0.01,c6,6.86e-02,7.74e+02,0.00469,2.90e-07
10,a408a,0.804,0.01,d6,2.63e-02,2.97e+02,0.00117,2.78e-07
10,a408a,0.804,0.01,e6,9.10e-03,1.03e+02,0.00029,1.57e-07
10,a408a,0.804,0.01,f6,2.37e-03,2.67e+01,0.00007,4.12e-07
10,a408a,0.804,0.01,g6,7.55e-04,8.52e+00,0.00002,3.65e-07
10,a408a,0.804,0.01,h6,-1.36e-17,-1.54e-13,0,4.26e-07
10,e177a,0.96,0.01,a7,9.66e-02,9.13e+02,0.075,4.81e-07
10,e177a,0.96,0.01,b7,8.12e-02,7.67e+02,0.01875,3.83e-07
10,e177a,0.96,0.01,c7,4.70e-02,4.44e+02,0.00469,2.90e-07
10,e177a,0.96,0.01,d7,1.73e-02,1.63e+02,0.00117,2.78e-07
10,e177a,0.96,0.01,e7,5.21e-03,4.92e+01,0.00029,1.57e-07
10,e177a,0.96,0.01,f7,1.33e-03,1.26e+01,0.00007,4.12e-07
10,e177a,0.96,0.01,g7,3.68e-04,3.47e+00,0.00002,3.65e-07
10,e177a,0.96,0.01,h7,8.56e-18,8.09e-14,0,4.26e-07
10,e177a,0.96,0.01,a8,9.76e-02,9.22e+02,0.075,4.81e-07
10,e177a,0.96,0.01,b8,7.88e-02,7.44e+02,0.01875,3.83e-07
10,e177a,0.96,0.01,c8,4.73e-02,4.47e+02,0.00469,2.90e-07
10,e177a,0.96,0.01,d8,1.66e-02,1.56e+02,0.00117,2.78e-07
10,e177a,0.96,0.01,e8,4.67e-03,4.41e+01,0.00029,1.57e-07
10,e177a,0.96,0.01,f8,1.30e-03,1.22e+01,0.00007,4.12e-07
10,e177a,0.96,0.01,g8,3.43e-04,3.24e+00,0.00002,3.65e-07
10,e177a,0.96,0.01,h8,1.62e-06,1.53e-02,0,4.26e-07
10,e177a,0.96,0.01,a9,9.78e-02,9.23e+02,0.075,4.81e-07
10,e177a,0.96,0.01,b9,7.34e-02,6.93e+02,0.01875,3.83e-07
10,e177a,0.96,0.01,c9,4.74e-02,4.48e+02,0.00469,2.90e-07
10,e177a,0.96,0.01,d9,1.45e-02,1.37e+02,0.00117,2.78e-07
10,e177a,0.96,0.01,e9,4.71e-03,4.45e+01,0.00029,1.57e-07
10,e177a,0.96,0.01,f9,1.20e-03,1.13e+01,0.00007,4.12e-07
10,e177a,0.96,0.01,g9,3.22e-04,3.05e+00,0.00002,3.65e-07
10,e177a,0.96,0.01,h9,0.00e+00,0.00e+00,0,4.26e-07
10,wt6,1.465,0.01,a10,1.45e-01,8.99e+02,0.075,4.81e-07
10,wt6,1.465,0.01,b10,1.14e-01,7.04e+02,0.01875,3.83e-07
10,wt6,1.465,0.01,c10,7.20e-02,4.46e+02,0.00469,2.90e-07
10,wt6,1.465,0.01,d10,3.16e-02,1.95e+02,0.00117,2.78e-07
10,wt6,1.465,0.01,e10,8.89e-03,5.50e+01,0.00029,1.57e-07
10,wt6,1.465,0.01,f10,2.27e-03,1.41e+01,0.00007,4.12e-07
10,wt6,1.465,0.01,g10,6.00e-04,3.71e+00,0.00002,3.65e-07
10,wt6,1.465,0.01,h10,-2.25e-17,-1.39e-13,0,4.26e-07
10,wt6,1.465,0.01,a11,1.39e-01,8.61e+02,0.075,4.81e-07
10,wt6,1.465,0.01,b11,1.13e-01,7.00e+02,0.01875,3.83e-07
10,wt6,1.465,0.01,c11,7.74e-02,4.79e+02,0.00469,2.90e-07
10,wt6,1.465,0.01,d11,2.61e-02,1.61e+02,0.00117,2.78e-07
10,wt6,1.465,0.01,e11,6.62e-03,4.10e+01,0.00029,1.57e-07
10,wt6,1.465,0.01,f11,2.30e-03,1.43e+01,0.00007,4.12e-07
10,wt6,1.465,0.01,g11,3.72e-04,2.30e+00,0.00002,3.65e-07
10,wt6,1.465,0.01,h11,-1.02e-17,-6.28e-14,0,4.26e-07
10,wt6,1.465,0.01,a12,1.37e-01,8.49e+02,0.075,4.81e-07
10,wt6,1.465,0.01,b12,1.21e-01,7.46e+02,0.01875,3.83e-07
10,wt6,1.465,0.01,c12,8.23e-02,5.09e+02,0.00469,2.90e-07
10,wt6,1.465,0.01,d12,2.58e-02,1.60e+02,0.00117,2.78e-07
10,wt6,1.465,0.01,e12,6.68e-03,4.13e+01,0.00029,1.57e-07
10,wt6,1.465,0.01,f12,1.61e-03,9.95e+00,0.00007,4.12e-07
10,wt6,1.465,0.01,g12,3.78e-04,2.34e+00,0.00002,3.65e-07
10,wt6,1.465,0.01,h12,1.80e-17,1.12e-13,0,4.26e-07
11,m223g,0.881,0.01,b1,8.51e-03,8.75e+01,0.01875,3.83e-07
11,m223g,0.881,0.01,c1,1.81e-03,1.86e+01,0.00469,2.90e-07
11,m223g,0.881,0.01,d1,3.78e-04,3.89e+00,0.00117,2.78e-07
11,m223g,0.881,0.01,e1,8.85e-05,9.11e-01,0.00029,1.57e-07
11,m223g,0.881,0.01,f1,3.09e-05,3.18e-01,0.00007,4.12e-07
11,m223g,0.881,0.01,g1,7.46e-18,7.68e-14,0.00002,3.65e-07
11,m223g,0.881,0.01,h1,-1.12e-17,-1.16e-13,0,4.26e-07
11,m223g,0.881,0.01,a2,1.16e-02,1.19e+02,0.075,4.81e-07
11,m223g,0.881,0.01,b2,7.81e-03,8.03e+01,0.01875,3.83e-07
11,m223g,0.881,0.01,c2,2.09e-03,2.15e+01,0.00469,2.90e-07
11,m223g,0.881,0.01,d2,4.10e-04,4.22e+00,0.00117,2.78e-07
11,m223g,0.881,0.01,e2,9.39e-05,9.67e-01,0.00029,1.57e-07
11,m223g,0.881,0.01,f2,2.72e-05,2.80e-01,0.00007,4.12e-07
11,m223g,0.881,0.01,g2,3.15e-05,3.24e-01,0.00002,3.65e-07
11,m223g,0.881,0.01,h2,2.94e-17,3.03e-13,0,4.26e-07
11,m223g,0.881,0.01,a3,1.13e-02,1.16e+02,0.075,4.81e-07
11,m223g,0.881,0.01,b3,8.72e-03,8.97e+01,0.01875,3.83e-07
11,m223g,0.881,0.01,c3,1.77e-03,1.82e+01,0.00469,2.90e-07
11,m223g,0.881,0.01,d3,3.55e-04,3.65e+00,0.00117,2.78e-07
11,m223g,0.881,0.01,e3,8.55e-05,8.79e-01,0.00029,1.57e-07
11,m223g,0.881,0.01,f3,4.97e-05,5.11e-01,0.00007,4.12e-07
11,m223g,0.881,0.01,g3,2.22e-18,2.29e-14,0.00002,3.65e-07
11,m223g,0.881,0.01,h3,-1.15e-17,-1.19e-13,0,4.26e-07
11,h122n,1.023,0.1,a4,1.64e-03,1.45e+00,0.075,4.81e-07
11,h122n,1.023,0.1,b4,1.02e-03,9.01e-01,0.01875,3.83e-07
11,h122n,1.023,0.1,c4,2.96e-04,2.62e-01,0.00469,2.90e-07
11,h122n,1.023,0.1,d4,1.04e-04,9.18e-02,0.00117,2.78e-07
11,h122n,1.023,0.1,e4,2.86e-05,2.53e-02,0.00029,1.57e-07
11,h122n,1.023,0.1,f4,-2.09e-17,-1.85e-14,0.00007,4.12e-07
11,h122n,1.023,0.1,g4,2.30e-05,2.04e-02,0.00002,3.65e-07
11,h122n,1.023,0.1,h4,0.00e+00,0.00e+00,0,4.26e-07
11,h122n,1.023,0.1,a5,1.53e-03,1.36e+00,0.075,4.81e-07
11,h122n,1.023,0.1,b5,9.79e-04,8.68e-01,0.01875,3.83e-07
11,h122n,1.023,0.1,c5,2.64e-04,2.34e-01,0.00469,2.90e-07
11,h122n,1.023,0.1,d5,9.03e-05,8.00e-02,0.00117,2.78e-07
11,h122n,1.023,0.1,e5,1.58e-04,1.40e-01,0.00029,1.57e-07
11,h122n,1.023,0.1,f5,1.94e-05,1.72e-02,0.00007,4.12e-07
11,h122n,1.023,0.1,g5,-3.56e-17,-3.16e-14,0.00002,3.65e-07
11,h122n,1.023,0.1,h5,0.00e+00,0.00e+00,0,4.26e-07
11,h122n,1.023,0.1,a6,1.69e-03,1.50e+00,0.075,4.81e-07
11,h122n,1.023,0.1,b6,1.04e-03,9.19e-01,0.01875,3.83e-07
11,h122n,1.023,0.1,c6,2.87e-04,2.55e-01,0.00469,2.90e-07
11,h122n,1.023,0.1,d6,7.76e-05,6.88e-02,0.00117,2.78e-07
11,h122n,1.023,0.1,e6,3.64e-05,3.22e-02,0.00029,1.57e-07
11,h122n,1.023,0.1,f6,-9.05e-18,-8.02e-15,0.00007,4.12e-07
11,h122n,1.023,0.1,g6,1.39e-05,1.24e-02,0.00002,3.65e-07
11,h122n,1.023,0.1,h6,1.88e-18,1.67e-15,0,4.26e-07
11,w328h,1.12,0.01,a7,3.85e-03,3.12e+01,0.075,4.81e-07
11,w328h,1.12,0.01,b7,4.22e-03,3.41e+01,0.01875,3.83e-07
11,w328h,1.12,0.01,c7,2.87e-03,2.33e+01,0.00469,2.90e-07
11,w328h,1.12,0.01,d7,1.06e-03,8.61e+00,0.00117,2.78e-07
11,w328h,1.12,0.01,e7,3.44e-04,2.79e+00,0.00029,1.57e-07
11,w328h,1.12,0.01,f7,1.05e-04,8.49e-01,0.00007,4.12e-07
11,w328h,1.12,0.01,g7,5.70e-05,4.61e-01,0.00002,3.65e-07
11,w328h,1.12,0.01,h7,-4.69e-18,-3.79e-14,0,4.26e-07
11,w328h,1.12,0.01,a8,3.67e-03,2.97e+01,0.075,4.81e-07
11,w328h,1.12,0.01,b8,4.36e-03,3.53e+01,0.01875,3.83e-07
11,w328h,1.12,0.01,c8,2.36e-03,1.91e+01,0.00469,2.90e-07
11,w328h,1.12,0.01,d8,1.09e-03,8.86e+00,0.00117,2.78e-07
11,w328h,1.12,0.01,e8,3.52e-04,2.85e+00,0.00029,1.57e-07
11,w328h,1.12,0.01,f8,1.02e-04,8.29e-01,0.00007,4.12e-07
11,w328h,1.12,0.01,g8,5.82e-05,4.71e-01,0.00002,3.65e-07
11,w328h,1.12,0.01,h8,4.92e-18,3.98e-14,0,4.26e-07
11,w328h,1.12,0.01,a9,3.84e-03,3.11e+01,0.075,4.81e-07
11,w328h,1.12,0.01,b9,4.08e-03,3.30e+01,0.01875,3.83e-07
11,w328h,1.12,0.01,c9,2.25e-03,1.82e+01,0.00469,2.90e-07
11,w328h,1.12,0.01,d9,1.10e-03,8.90e+00,0.00117,2.78e-07
11,w328h,1.12,0.01,e9,3.55e-04,2.88e+00,0.00029,1.57e-07
11,w328h,1.12,0.01,f9,9.09e-05,7.36e-01,0.00007,4.12e-07
11,w328h,1.12,0.01,g9,6.85e-05,5.54e-01,0.00002,3.65e-07
11,w328h,1.12,0.01,h9,3.70e-05,2.99e-01,0,4.26e-07
11,e426s,1.079,0.01,b10,5.88e-02,4.94e+02,0.01875,3.83e-07
11,e426s,1.079,0.01,c10,2.91e-02,2.44e+02,0.00469,2.90e-07
11,e426s,1.079,0.01,d10,1.23e-02,1.03e+02,0.00117,2.78e-07
11,e426s,1.079,0.01,e10,3.61e-03,3.03e+01,0.00029,1.57e-07
11,e426s,1.079,0.01,f10,9.33e-04,7.84e+00,0.00007,4.12e-07
11,e426s,1.079,0.01,g10,2.96e-04,2.49e+00,0.00002,3.65e-07
11,e426s,1.079,0.01,h10,0.00e+00,0.00e+00,0,4.26e-07
11,e426s,1.079,0.01,a11,6.86e-02,5.76e+02,0.075,4.81e-07
11,e426s,1.079,0.01,b11,5.99e-02,5.04e+02,0.01875,3.83e-07
11,e426s,1.079,0.01,c11,2.98e-02,2.50e+02,0.00469,2.90e-07
11,e426s,1.079,0.01,d11,1.22e-02,1.02e+02,0.00117,2.78e-07
11,e426s,1.079,0.01,e11,3.75e-03,3.15e+01,0.00029,1.57e-07
11,e426s,1.079,0.01,f11,9.79e-04,8.22e+00,0.00007,4.12e-07
11,e426s,1.079,0.01,g11,2.79e-04,2.34e+00,0.00002,3.65e-07
11,e426s,1.079,0.01,h11,2.07e-17,1.74e-13,0,4.26e-07
11,e426s,1.079,0.01,a12,6.80e-02,5.71e+02,0.075,4.81e-07
11,e426s,1.079,0.01,b12,6.13e-02,5.15e+02,0.01875,3.83e-07
11,e426s,1.079,0.01,c12,2.94e-02,2.47e+02,0.00469,2.90e-07
11,e426s,1.079,0.01,d12,1.24e-02,1.04e+02,0.00117,2.78e-07
11,e426s,1.079,0.01,e12,3.61e-03,3.04e+01,0.00029,1.57e-07
11,e426s,1.079,0.01,f12,9.37e-04,7.87e+00,0.00007,4.12e-07
11,e426s,1.079,0.01,g12,2.45e-04,2.06e+00,0.00002,3.65e-07
11,e426s,1.079,0.01,h12,1.17e-06,9.86e-03,0,4.26e-07
12,w402c,0.847,0.1,b1,5.57e-04,5.96e-01,0.01875,3.83e-07
12,w402c,0.847,0.1,c1,1.76e-04,1.88e-01,0.00469,2.90e-07
12,w402c,0.847,0.1,d1,8.48e-05,9.08e-02,0.00117,2.78e-07
12,w402c,0.847,0.1,e1,3.33e-05,3.57e-02,0.00029,1.57e-07
12,w402c,0.847,0.1,f1,8.59e-18,9.19e-15,0.00007,4.12e-07
12,w402c,0.847,0.1,g1,1.41e-17,1.51e-14,0.00002,3.65e-07
12,w402c,0.847,0.1,h1,-1.22e-17,-1.31e-14,0,4.26e-07
12,w402c,0.847,0.1,a2,1.27e-03,1.36e+00,0.075,4.81e-07
12,w402c,0.847,0.1,b2,5.01e-04,5.36e-01,0.01875,3.83e-07
12,w402c,0.847,0.1,c2,1.97e-04,2.11e-01,0.00469,2.90e-07
12,w402c,0.847,0.1,d2,7.82e-05,8.37e-02,0.00117,2.78e-07
12,w402c,0.847,0.1,e2,4.14e-05,4.43e-02,0.00029,1.57e-07
12,w402c,0.847,0.1,f2,0.00e+00,0.00e+00,0.00007,4.12e-07
12,w402c,0.847,0.1,g2,2.61e-18,2.80e-15,0.00002,3.65e-07
12,w402c,0.847,0.1,h2,-2.78e-17,-2.98e-14,0,4.26e-07
12,w402c,0.847,0.1,a3,1.25e-03,1.33e+00,0.075,4.81e-07
12,w402c,0.847,0.1,b3,5.06e-04,5.42e-01,0.01875,3.83e-07
12,w402c,0.847,0.1,c3,1.89e-04,2.02e-01,0.00469,2.90e-07
12,w402c,0.847,0.1,d3,6.30e-05,6.75e-02,0.00117,2.78e-07
12,w402c,0.847,0.1,e3,3.39e-05,3.63e-02,0.00029,1.57e-07
12,w402c,0.847,0.1,f3,-3.26e-18,-3.49e-15,0.00007,4.12e-07
12,w402c,0.847,0.1,g3,-4.01e-18,-4.30e-15,0.00002,3.65e-07
12,w402c,0.847,0.1,h3,2.11e-18,2.26e-15,0,4.26e-07
12,f75a,0.437,0.01,a4,2.87e-02,5.95e+02,0.075,4.81e-07
12,f75a,0.437,0.01,b4,2.22e-02,4.60e+02,0.01875,3.83e-07
12,f75a,0.437,0.01,c4,1.28e-02,2.65e+02,0.00469,2.90e-07
12,f75a,0.437,0.01,d4,5.60e-03,1.16e+02,0.00117,2.78e-07
12,f75a,0.437,0.01,e4,1.87e-03,3.87e+01,0.00029,1.57e-07
12,f75a,0.437,0.01,f4,5.73e-04,1.19e+01,0.00007,4.12e-07
12,f75a,0.437,0.01,g4,2.13e-04,4.41e+00,0.00002,3.65e-07
12,f75a,0.437,0.01,h4,-3.88e-17,-8.06e-13,0,4.26e-07
12,f75a,0.437,0.01,a5,2.77e-02,5.75e+02,0.075,4.81e-07
12,f75a,0.437,0.01,b5,2.27e-02,4.71e+02,0.01875,3.83e-07
12,f75a,0.437,0.01,c5,1.39e-02,2.89e+02,0.00469,2.90e-07
12,f75a,0.437,0.01,d5,5.55e-03,1.15e+02,0.00117,2.78e-07
12,f75a,0.437,0.01,e5,1.82e-03,3.78e+01,0.00029,1.57e-07
12,f75a,0.437,0.01,f5,5.18e-04,1.07e+01,0.00007,4.12e-07
12,f75a,0.437,0.01,g5,1.80e-04,3.73e+00,0.00002,3.65e-07
12,f75a,0.437,0.01,h5,4.28e-18,8.88e-14,0,4.26e-07
12,f75a,0.437,0.01,a6,2.80e-02,5.80e+02,0.075,4.81e-07
12,f75a,0.437,0.01,b6,2.13e-02,4.41e+02,0.01875,3.83e-07
12,f75a,0.437,0.01,c6,1.43e-02,2.96e+02,0.00469,2.90e-07
12,f75a,0.437,0.01,d6,6.28e-03,1.30e+02,0.00117,2.78e-07
12,f75a,0.437,0.01,e6,2.26e-03,4.69e+01,0.00029,1.57e-07
12,f75a,0.437,0.01,f6,6.12e-04,1.27e+01,0.00007,4.12e-07
12,f75a,0.437,0.01,g6,2.18e-04,4.51e+00,0.00002,3.65e-07
12,f75a,0.437,0.01,h6,4.59e-17,9.53e-13,0,4.26e-07
12,q22s,0.431,0.1,a7,2.25e-04,4.73e-01,0.075,4.81e-07
12,q22s,0.431,0.1,b7,7.45e-05,1.57e-01,0.01875,3.83e-07
12,q22s,0.431,0.1,c7,3.27e-05,6.88e-02,0.00469,2.90e-07
12,q22s,0.431,0.1,d7,2.06e-17,4.34e-14,0.00117,2.78e-07
12,q22s,0.431,0.1,e7,-3.44e-17,-7.24e-14,0.00029,1.57e-07
12,q22s,0.431,0.1,f7,2.12e-17,4.46e-14,0.00007,4.12e-07
12,q22s,0.431,0.1,g7,1.48e-17,3.11e-14,0.00002,3.65e-07
12,q22s,0.431,0.1,h7,1.59e-17,3.34e-14,0,4.26e-07
12,q22s,0.431,0.1,a8,1.89e-04,3.98e-01,0.075,4.81e-07
12,q22s,0.431,0.1,b8,8.61e-05,1.81e-01,0.01875,3.83e-07
